Customer_ID,Age,Gender,Category,Category_ID,Item_Purchased,Item_Purchased_ID,Purchase_Amount (USD),Location,Size,Color,Color_Family,Sku_ID,Season,Review_Rating,Subscription Status,Shipping_Type,Discount_Applied,Previous_Purchases,Frequency of Purchases
67,31,Male,Clothing,Clo_M_01,Blouse,Clo_M_Blouse,94,Pennsylvania,S,Magenta,Reds and Pinks,SKU_66,Winter,4.7,Yes,2-Day Shipping,Yes,3,Every 3 Months
68,45,Male,Outerwear,OutW_M_01,Coat,OutW_M_Coat,33,Connecticut,L,Gray,Grayscale,SKU_67,Winter,4.4,Yes,Store Pickup,Yes,49,Monthly
69,57,Male,Accessories,ACC_M_01,Handbag,Acc_M_Handbag,46,Utah,L,Silver,Grayscale,SKU_68,Summer,3.9,Yes,Next Day Air,Yes,21,Every 3 Months
70,48,Male,Accessories,ACC_M_01,Belt,Acc_M_Belt,70,Tennessee,S,Cyan,Blues and Teals,SKU_69,Summer,4.4,Yes,Express,Yes,5,Weekly
71,22,Male,Accessories,ACC_M_01,Belt,Acc_M_Belt,29,Alabama,M,Magenta,Reds and Pinks,SKU_70,Fall,4.2,Yes,Express,Yes,32,Every 3 Months
72,36,Male,Clothing,Clo_M_01,Dress,Clo_M_Dress,48,Virginia,L,Gold,Yellows and Oranges,SKU_71,Summer,2.9,Yes,Express,Yes,34,Annually
73,18,Male,Clothing,Clo_M_01,Dress,Clo_M_Dress,26,Georgia,M,Olive,Greens,SKU_72,Winter,2.9,Yes,Store Pickup,Yes,21,Every 3 Months
74,48,Male,Clothing,Clo_M_01,Pants,Clo_M_Pants,85,Hawaii,M,Teal,Blues and Teals,SKU_73,Spring,2.7,Yes,Free Shipping,Yes,43,Bi-Weekly
75,49,Male,Accessories,ACC_M_01,Gloves,Acc_M_Gloves,58,Indiana,L,Violet,Purples,SKU_74,Spring,4.5,Yes,Express,Yes,3,Monthly
76,64,Male,Accessories,ACC_M_01,Scarf,Acc_M_Scarf,85,Utah,M,Blue,Blues and Teals,SKU_75,Summer,2.7,Yes,Free Shipping,Yes,21,Annually
77,50,Male,Accessories,ACC_M_01,Hat,Acc_M_Hat,43,Delaware,S,Teal,Blues and Teals,SKU_76,Summer,4.2,Yes,Free Shipping,Yes,32,Monthly
79,50,Male,Clothing,Clo_M_01,Skirt,Clo_M_Skirt,91,Nebraska,M,Maroon,Reds and Pinks,SKU_77,Spring,4.7,Yes,Free Shipping,Yes,50,Fortnightly
80,38,Male,Outerwear,OutW_M_01,Jacket,OutW_M_Jacket,96,Iowa,M,Olive,Greens,SKU_78,Winter,2.6,Yes,2-Day Shipping,Yes,43,Every 3 Months
81,19,Male,Footwear,Footw_M_01,Sandals,Footw_M_Sandals,72,New York,XL,Blue,Blues and Teals,SKU_79,Summer,3.3,Yes,Store Pickup,Yes,24,Every 3 Months
82,67,Male,Footwear,Footw_M_01,Shoes,Footw_M_Shoes,96,Virginia,L,Maroon,Reds and Pinks,SKU_80,Summer,2.6,Yes,Express,Yes,36,Every 3 Months
83,19,Male,Clothing,Clo_M_01,Pants,Clo_M_Pants,28,Georgia,S,Olive,Greens,SKU_81,Spring,4,Yes,2-Day Shipping,Yes,21,Every 3 Months
84,36,Male,Clothing,Clo_M_01,Dress,Clo_M_Dress,40,Texas,M,Turquoise,Blues and Teals,SKU_82,Summer,4.1,Yes,Standard,Yes,34,Weekly
85,52,Male,Outerwear,OutW_M_01,Coat,OutW_M_Coat,32,Arizona,S,Peach,Yellows and Oranges,SKU_83,Spring,4.4,Yes,Standard,Yes,42,Every 3 Months
86,53,Male,Accessories,ACC_M_01,Sunglasses,Acc_M_Sunglasses,95,New Mexico,M,Charcoal,Grayscale,SKU_84,Winter,4.5,Yes,Next Day Air,Yes,2,Bi-Weekly
87,24,Male,Clothing,Clo_M_01,Hoodie,Clo_M_Hoodie,41,Nevada,L,Pink,Reds and Pinks,SKU_85,Spring,3.7,Yes,2-Day Shipping,Yes,47,Bi-Weekly
88,52,Male,Footwear,Footw_M_01,Shoes,Footw_M_Shoes,53,Ohio,M,Green,Greens,SKU_86,Fall,3.7,Yes,2-Day Shipping,Yes,44,Fortnightly
89,33,Male,Clothing,Clo_M_01,T-shirt,Clo_M_T-shirt,47,Wyoming,M,Orange,Yellows and Oranges,SKU_87,Fall,3.5,Yes,Free Shipping,Yes,35,Monthly
90,47,Male,Outerwear,OutW_M_01,Jacket,OutW_M_Jacket,83,California,XL,Pink,Reds and Pinks,SKU_88,Fall,3.6,Yes,Next Day Air,Yes,15,Quarterly
91,25,Male,Accessories,ACC_M_01,Hat,Acc_M_Hat,48,South Carolina,L,Violet,Purples,SKU_89,Summer,2.9,Yes,Express,Yes,29,Monthly
92,44,Male,Accessories,ACC_M_01,Scarf,Acc_M_Scarf,99,South Carolina,S,Green,Greens,SKU_90,Winter,4.6,Yes,Standard,Yes,18,Every 3 Months
94,37,Male,Clothing,Clo_M_01,Sweater,Clo_M_Sweater,62,Florida,M,Purple,Purples,SKU_91,Fall,4.5,Yes,Standard,Yes,46,Weekly
95,58,Male,Clothing,Clo_M_01,Skirt,Clo_M_Skirt,76,Nevada,S,Silver,Grayscale,SKU_92,Spring,4.6,Yes,Free Shipping,Yes,28,Weekly
96,37,Male,Footwear,Footw_M_01,Sneakers,Footw_M_Sneakers,100,Missouri,L,Pink,Reds and Pinks,SKU_93,Fall,3.8,Yes,Free Shipping,Yes,48,Monthly
97,32,Male,Accessories,ACC_M_01,Gloves,Acc_M_Gloves,73,Delaware,S,Gold,Yellows and Oranges,SKU_94,Spring,3.6,Yes,Express,Yes,43,Every 3 Months
98,21,Male,Footwear,Footw_M_01,Shoes,Footw_M_Shoes,92,Virginia,M,Teal,Blues and Teals,SKU_95,Winter,4.8,Yes,Store Pickup,Yes,37,Annually
99,20,Male,Clothing,Clo_M_01,Jeans,Clo_M_Jeans,67,New York,XL,Teal,Blues and Teals,SKU_96,Spring,2.6,Yes,Next Day Air,Yes,20,Annually
100,26,Male,Clothing,Clo_M_01,Hoodie,Clo_M_Hoodie,40,Missouri,XL,Indigo,Blues and Teals,SKU_97,Summer,3.7,Yes,Express,Yes,33,Quarterly
101,62,Male,Accessories,ACC_M_01,Sunglasses,Acc_M_Sunglasses,98,South Dakota,M,Maroon,Reds and Pinks,SKU_98,Fall,2.7,Yes,Express,Yes,31,Fortnightly
102,27,Male,Outerwear,OutW_M_01,Coat,OutW_M_Coat,85,North Dakota,XL,White,Grayscale,SKU_99,Spring,4.6,Yes,Express,Yes,50,Bi-Weekly
103,51,Male,Clothing,Clo_M_01,Socks,Clo_M_Socks,67,Oklahoma,L,Violet,Purples,SKU_100,Winter,4.8,Yes,Next Day Air,Yes,35,Quarterly
104,54,Male,Footwear,Footw_M_01,Boots,Footw_M_Boots,89,West Virginia,L,Red,Reds and Pinks,SKU_101,Winter,4,Yes,Next Day Air,Yes,22,Bi-Weekly
105,55,Male,Accessories,ACC_M_01,Sunglasses,Acc_M_Sunglasses,24,New Hampshire,L,Pink,Reds and Pinks,SKU_102,Spring,4.4,Yes,2-Day Shipping,Yes,1,Monthly
106,69,Male,Accessories,ACC_M_01,Backpack,Acc_M_Backpack,96,New York,M,Charcoal,Grayscale,SKU_103,Fall,3.6,Yes,Next Day Air,Yes,4,Annually
107,64,Male,Outerwear,OutW_M_01,Jacket,OutW_M_Jacket,35,Minnesota,L,White,Grayscale,SKU_104,Summer,3.7,Yes,Standard,Yes,31,Monthly
108,28,Male,Footwear,Footw_M_01,Sneakers,Footw_M_Sneakers,67,Maryland,L,Olive,Greens,SKU_105,Winter,3.1,Yes,Next Day Air,Yes,46,Fortnightly
109,70,Male,Clothing,Clo_M_01,Socks,Clo_M_Socks,79,Montana,L,Purple,Purples,SKU_106,Spring,3.4,Yes,Next Day Air,Yes,32,Bi-Weekly
110,58,Male,Clothing,Clo_M_01,T-shirt,Clo_M_T-shirt,85,Alabama,M,Violet,Purples,SKU_107,Spring,2.6,Yes,Next Day Air,Yes,43,Fortnightly
111,56,Male,Accessories,ACC_M_01,Backpack,Acc_M_Backpack,26,New York,M,Black,Grayscale,SKU_108,Summer,4,Yes,Standard,Yes,26,Fortnightly
112,26,Male,Accessories,ACC_M_01,Belt,Acc_M_Belt,75,Massachusetts,L,Purple,Purples,SKU_109,Summer,5,Yes,Free Shipping,Yes,9,Annually
113,37,Male,Accessories,ACC_M_01,Gloves,Acc_M_Gloves,65,Florida,M,Red,Reds and Pinks,SKU_110,Spring,4.3,Yes,Free Shipping,Yes,28,Bi-Weekly
114,44,Male,Accessories,ACC_M_01,Hat,Acc_M_Hat,54,New Jersey,L,Maroon,Reds and Pinks,SKU_111,Winter,3.1,Yes,Next Day Air,Yes,20,Quarterly
115,70,Male,Outerwear,OutW_M_01,Coat,OutW_M_Coat,95,Massachusetts,S,Blue,Blues and Teals,SKU_112,Summer,3.7,Yes,Store Pickup,Yes,9,Weekly
116,53,Male,Clothing,Clo_M_01,Skirt,Clo_M_Skirt,94,Wyoming,M,Gray,Grayscale,SKU_113,Spring,3.8,Yes,Standard,Yes,48,Every 3 Months
117,55,Male,Footwear,Footw_M_01,Shoes,Footw_M_Shoes,86,Virginia,S,Blue,Blues and Teals,SKU_114,Spring,3.4,Yes,Free Shipping,Yes,12,Annually
118,50,Male,Footwear,Footw_M_01,Sandals,Footw_M_Sandals,32,South Dakota,L,Yellow,Yellows and Oranges,SKU_115,Summer,4.6,Yes,Express,Yes,29,Fortnightly
119,50,Male,Clothing,Clo_M_01,Sweater,Clo_M_Sweater,45,Kentucky,L,Orange,Yellows and Oranges,SKU_116,Fall,4.8,Yes,2-Day Shipping,Yes,27,Bi-Weekly
120,38,Male,Outerwear,OutW_M_01,Coat,OutW_M_Coat,76,Wyoming,M,Orange,Yellows and Oranges,SKU_117,Fall,4.3,Yes,Express,Yes,44,Annually
121,64,Male,Accessories,ACC_M_01,Hat,Acc_M_Hat,84,West Virginia,L,Red,Reds and Pinks,SKU_118,Summer,4,Yes,Express,Yes,32,Annually
122,19,Male,Clothing,Clo_M_01,Shorts,Clo_M_Shorts,72,Virginia,M,Olive,Greens,SKU_119,Winter,4.2,Yes,Standard,Yes,11,Fortnightly
123,40,Male,Accessories,ACC_M_01,Backpack,Acc_M_Backpack,40,Washington,L,Brown,,SKU_120,Spring,4.8,Yes,2-Day Shipping,Yes,44,Fortnightly
125,44,Male,Clothing,Clo_M_01,Sweater,Clo_M_Sweater,86,Nevada,M,Gray,Grayscale,SKU_121,Spring,3.1,Yes,Next Day Air,Yes,50,Annually
126,49,Male,Clothing,Clo_M_01,Shorts,Clo_M_Shorts,54,California,M,Indigo,Blues and Teals,SKU_122,Winter,3.6,Yes,Next Day Air,Yes,45,Every 3 Months
127,43,Male,Clothing,Clo_M_01,Shorts,Clo_M_Shorts,36,Mississippi,L,Pink,Reds and Pinks,SKU_123,Spring,3.9,Yes,Store Pickup,Yes,48,Every 3 Months
129,20,Male,Accessories,ACC_M_01,Scarf,Acc_M_Scarf,32,California,M,Gold,Yellows and Oranges,SKU_124,Spring,4.7,Yes,Standard,Yes,21,Fortnightly
130,24,Male,Clothing,Clo_M_01,Dress,Clo_M_Dress,67,Pennsylvania,XL,Olive,Greens,SKU_125,Summer,4.2,Yes,2-Day Shipping,Yes,49,Bi-Weekly
131,44,Male,Accessories,ACC_M_01,Scarf,Acc_M_Scarf,39,Kentucky,L,Violet,Purples,SKU_126,Fall,3.7,Yes,Next Day Air,Yes,13,Fortnightly
132,28,Male,Clothing,Clo_M_01,Skirt,Clo_M_Skirt,29,Maine,L,Indigo,Blues and Teals,SKU_127,Summer,3.9,Yes,Standard,Yes,46,Weekly
133,30,Male,Accessories,ACC_M_01,Backpack,Acc_M_Backpack,58,New Mexico,M,Orange,Yellows and Oranges,SKU_128,Fall,4.7,Yes,2-Day Shipping,Yes,42,Weekly
134,52,Male,Clothing,Clo_M_01,Sweater,Clo_M_Sweater,65,Montana,M,Violet,Purples,SKU_129,Winter,2.5,Yes,Next Day Air,Yes,25,Annually
135,43,Male,Accessories,ACC_M_01,Hat,Acc_M_Hat,94,Texas,L,Gray,Grayscale,SKU_130,Fall,4.9,Yes,Store Pickup,Yes,25,Monthly
136,43,Male,Footwear,Footw_M_01,Sandals,Footw_M_Sandals,81,Kansas,M,Purple,Purples,SKU_131,Fall,4.1,Yes,Express,Yes,12,Quarterly
137,39,Male,Clothing,Clo_M_01,Blouse,Clo_M_Blouse,86,South Carolina,M,White,Grayscale,SKU_132,Winter,3.3,Yes,Free Shipping,Yes,4,Quarterly
138,68,Male,Footwear,Footw_M_01,Sneakers,Footw_M_Sneakers,43,Colorado,M,Turquoise,Blues and Teals,SKU_133,Spring,4.7,Yes,Free Shipping,Yes,38,Weekly
141,63,Male,Clothing,Clo_M_01,Shirt,Clo_M_Shirt,28,North Carolina,L,Yellow,Yellows and Oranges,SKU_134,Fall,3.9,Yes,2-Day Shipping,Yes,50,Weekly
142,56,Male,Accessories,ACC_M_01,Gloves,Acc_M_Gloves,46,Virginia,M,Turquoise,Blues and Teals,SKU_135,Fall,4.9,Yes,Free Shipping,Yes,45,Weekly
143,37,Male,Outerwear,OutW_M_01,Jacket,OutW_M_Jacket,58,Nebraska,L,Violet,Purples,SKU_136,Fall,3.1,Yes,Free Shipping,Yes,33,Fortnightly
145,19,Male,Footwear,Footw_M_01,Shoes,Footw_M_Shoes,43,New Jersey,M,Silver,Grayscale,SKU_137,Fall,3.2,Yes,Express,Yes,25,Monthly
146,24,Male,Accessories,ACC_M_01,Jewelry,Acc_M_Jewelry,95,Missouri,M,Teal,Blues and Teals,SKU_138,Fall,4.5,Yes,Standard,Yes,44,Quarterly
147,52,Male,Clothing,Clo_M_01,Skirt,Clo_M_Skirt,30,Colorado,S,Black,Grayscale,SKU_139,Fall,4,Yes,Standard,Yes,21,Fortnightly
148,63,Male,Footwear,Footw_M_01,Shoes,Footw_M_Shoes,64,Idaho,M,Purple,Purples,SKU_140,Summer,3.5,Yes,2-Day Shipping,Yes,31,Fortnightly
149,37,Male,Accessories,ACC_M_01,Gloves,Acc_M_Gloves,90,Wyoming,M,Gray,Grayscale,SKU_141,Fall,2.6,Yes,Store Pickup,Yes,47,Annually
150,38,Male,Clothing,Clo_M_01,Pants,Clo_M_Pants,76,Delaware,M,White,Grayscale,SKU_142,Summer,3.2,Yes,Free Shipping,Yes,14,Monthly
151,35,Male,Footwear,Footw_M_01,Boots,Footw_M_Boots,96,California,L,Cyan,Blues and Teals,SKU_143,Fall,4.9,Yes,Standard,Yes,17,Every 3 Months
152,28,Male,Accessories,ACC_M_01,Sunglasses,Acc_M_Sunglasses,47,North Dakota,L,Turquoise,Blues and Teals,SKU_144,Fall,4.5,Yes,Next Day Air,Yes,3,Annually
153,30,Male,Clothing,Clo_M_01,Shirt,Clo_M_Shirt,85,South Carolina,S,Brown,,SKU_145,Summer,4.3,Yes,Express,Yes,42,Annually
154,69,Male,Clothing,Clo_M_01,Hoodie,Clo_M_Hoodie,55,North Carolina,M,Maroon,Reds and Pinks,SKU_146,Winter,3.2,Yes,Standard,Yes,22,Annually
155,41,Male,Clothing,Clo_M_01,Dress,Clo_M_Dress,98,Oklahoma,M,Charcoal,Grayscale,SKU_147,Fall,3.6,Yes,Next Day Air,Yes,21,Quarterly
156,63,Male,Clothing,Clo_M_01,Socks,Clo_M_Socks,77,Maine,S,Olive,Greens,SKU_148,Spring,4.3,Yes,Free Shipping,Yes,21,Quarterly
157,35,Male,Clothing,Clo_M_01,Shorts,Clo_M_Shorts,26,Missouri,M,Lavender,Purples,SKU_149,Fall,4,Yes,Standard,Yes,40,Annually
